id,created_at,screen_name,u_created_at,statuses_count,followers,friends,location,profile_background_color,text
ID_1265444327792300034,5/27/2020 0:46,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48308,1477,4474,"Florida, USA",0,Companies Demand Government to include Climate Change Considerations in New Coronavirus ... - https://t.co/byajECprQ0 #GoogleAlerts
ID_1265444580566224899,5/27/2020 0:47,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48320,1477,4474,"Florida, USA",0,Hurricanes are growing stronger as climate warms  new NOAA study shows - https://t.co/rIc8pzK4hE #GoogleAlerts
ID_1265444605690089473,5/27/2020 0:47,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48321,1477,4474,"Florida, USA",0,American Climate Video: The Family Home Had Gone Untouched by Floodwaters for Over 80 ... - https://t.co/bFmfGvTAm4 #GoogleAlerts
ID_1265444629522133009,5/27/2020 0:48,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48322,1477,4474,"Florida, USA",0,American Climate Video: The Family Home Had Gone Untouched by Floodwaters for Over 80 ... - https://t.co/5FW6WiXaLy #GoogleAlerts
ID_1265444644982272006,5/27/2020 0:48,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48323,1477,4474,"Florida, USA",0,Scientists understand cattle not climate villains  but media still missing message - https://t.co/lAcQPBQtsh #GoogleAlerts
ID_1265444672975114240,5/27/2020 0:48,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48324,1477,4474,"Florida, USA",0,Nordic Investors Turn up Heat on Coal in Climate Campaign - https://t.co/AO7OVeJ4St #GoogleAlerts
ID_1265444688720547840,5/27/2020 0:48,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48325,1477,4474,"Florida, USA",0,Sir David Attenborough says coronavirus means the battle against climate change has been put ... - https://t.co/AWQlQM4QLR #GoogleAlerts
ID_1265444706701520903,5/27/2020 0:48,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48326,1477,4474,"Florida, USA",0,Climate change  bushfire threat a major gap in environmental protection laws: ACT government - https://t.co/KBV6SiajgB #GoogleAlerts
ID_1265444738775293958,5/27/2020 0:48,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48328,1477,4474,"Florida, USA",0,HSBC  IFC Fund raises USD474 million for Climate Action in Emerging Markets - https://t.co/KnUoTFY4iU #GoogleAlerts
ID_1265447377151746048,5/27/2020 0:59,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17103,52486,17724,"Glasgow, Scotland",C0DEED,"We climate activists listen to the scientists  at the moment we are all trying to socially distance.

But climate c… https://t.co/laM8SI82Y9"
ID_1265457443561107456,5/27/2020 1:39,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17104,52488,17724,"Glasgow, Scotland",C0DEED,"“In earlier times  the climate was perfect for coffee ”

Our yearly production now varies by up to 40 percent.”

Fo… https://t.co/JVwE5c3C4v"
ID_1265457978183999494,5/27/2020 1:41,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230746,25427,27260,"Taos, New Mexico, USA",8B542B,SteamDrills -Leave your uncertainties  your fears  and your hesitation.  You may feel unprepared  but come anyway #NoKXL #Climate Resist
ID_1265467509819322370,5/27/2020 2:19,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17105,52491,17725,"Glasgow, Scotland",C0DEED,“The science is clear. Without rapid cuts in CO₂ and other greenhouse gases  climate change will have increasingly… https://t.co/r7kEmdigZd
ID_1265472143694999553,5/27/2020 2:37,JaneKBrundage,Sat Mar 17 17:26:44 +0000 2012,11558,118,85,"Coyoacán, Mexico City",C0DEED,Build Back Greener | Interview With Vanessa Nakate  #YoungClimateActivist || #COVID19 #Lockdown #Governments… https://t.co/BLCxLCpQW5
ID_1265474291996467201,5/27/2020 2:45,EcoManDan,Sat Nov 12 00:46:03 +0000 2011,3657,179,462,"Toronto, Ontario, Canada",709397,#cc #climatechange RT @UNEP: As we work to mobilize immediate emergency health  economic and security responses to… https://t.co/IeT3GPVygo
ID_1265478390083182592,5/27/2020 3:02,JaneKBrundage,Sat Mar 17 17:26:44 +0000 2012,11569,118,85,"Coyoacán, Mexico City",C0DEED,#COVID19Recovery Will Be #EcologicalTransition  Or It Won't Be A Recovery | #ClimateCrisis #CommunityEnergy… https://t.co/c3dmVLjjjZ
ID_1265481885242793985,5/27/2020 3:16,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230753,25426,27259,"Taos, New Mexico, USA",8B542B,Action vs. Reaction for the #DandelionInsurrection https://t.co/QtU0FCnROe #Climate https://t.co/7TaOsSYFUD
ID_1265482148414394370,5/27/2020 3:17,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230754,25426,27259,"Taos, New Mexico, USA",8B542B,"#SteamDrills ""Literary art with a message"" Greed Love Climate #Racism #Heroes &amp; Solutions https://t.co/dQQ4P79m7e https://t.co/0VJmZtreqz"
ID_1265491700627255296,5/27/2020 3:55,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230772,25426,27262,"Taos, New Mexico, USA",8B542B,SteamDrills -Our human family is in some serious trouble. Every mother  father &amp; child is in danger right now #ClimateChange #Coal 5Star
ID_1265510253988319238,5/27/2020 5:08,charlierichmond,Mon Sep 22 03:30:33 +0000 2008,335427,1808,1860,Vancouver and London,C0DEED,The Australian government has officially given up on climate action | RenewEconomy https://t.co/48p49bebo5
ID_1265513094949867531,5/27/2020 5:20,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230782,25426,27261,"Taos, New Mexico, USA",8B542B,SteamDrills -Stop listening to the TV tell you about America the beautiful. get up and be America the beautiful Climate #Resist #NoKXL
ID_1265517841345843201,5/27/2020 5:39,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17109,52498,17726,"Glasgow, Scotland",C0DEED,“By memorialising a fallen glacier  we want to emphasise what is being lost – or dying – the world over  and also d… https://t.co/5OfWyzlTvF
